10000,-400,10000,10000,-10000,1400,-10000,10000,-10000,1000,600,-10000,-10000,3600,-10000,2296,800,-600,-1000,10000,-10000,-600,10000,-10000,10000,10000,10000,-10000,10000,10000,-2000,-10000,10000,-10000,10000,-1000,-10000,10000,-10000,-10000,-10000,-1200,-10000,-1800,3000,-2600,-10000,10000,-400,10000,-960,-10000,-10000,10000,-10000,10000,600,400,10000,10000,10000,5400,-1200,-200,-10000,-10000,-10000,10000,3600,-10000,-800,-2800,10000,-10000,10000,-10000,-400,-5200,-10000,10000,-10000,-10000,-10000,10000,-200,-10000,800,10000,-2800,-10000,-10000,10000,-10000,4400,2400,-1600,600,10000,10000,-1600
-10000,-10000,222,10000,-1772,10000,-10000,10000,-10000,-10000,-10000,-200,-2200,-3800,-5400,-10000,0,10000,10000,10000,-10000,10000,10000,-10000,10000,10000,10000,-200,10000,-10000,-4200,-600,10000,10000,10000,800,10000,10000,600,400,-2600,10000,10000,-10000,-10000,10000,-200,-10000,10000,-10000,-1400,-10000,-10000,-10000,10000,-10000,400,-10000,10000,10000,600,10000,-10000,-2400,-10000,-10000,-10000,400,-1000,-10000,10000,-10000,10000,-600,10000,-10000,-10000,800,-10000,-3200,-1800,-10000,10000,800,-1000,-10000,-10000,-10000,-1600,-10000,10000,4218,-600,-1000,10000,1852,-10000,10000,-2000,800
1400,10000,400,10000,10000,-10000,-10000,10000,10000,-10000,542,1400,-2514,3000,-10000,-10000,10000,10000,3400,-1200,10000,-10000,-10000,10000,10000,10000,10000,-200,2400,-10000,-10000,10000,-10000,-10000,800,10000,-800,10000,-3000,-600,-10000,10000,-200,10000,-1400,-4400,10000,-3000,-1200,-5400,-10000,10000,10000,5200,-3102,-1600,10000,10000,-10000,-200,-600,-10000,-1200,-10000,10000,10000,2400,10000,-10000,-10000,-10000,-2600,10000,1400,3800,-10000,-10000,-2600,10000,10000,2200,400,10000,-3200,-10000,1200,10000,10000,-10000,10000,10000,-10000,-10000,10000,10000,10000,-10000,-10000,10000,-5200
-10000,600,10000,10000,-10000,2400,-10000,-10000,10000,10000,10000,2400,400,10000,-10000,10000,10000,10000,2000,0,10000,-2380,2000,10000,-10000,10000,1800,10000,10000,-1600,-10000,1200,10000,-10000,10000,-5028,-10000,-10000,-3400,3904,-1600,-2000,-10000,800,10000,4200,10000,10000,-5200,2200,-10000,10000,10000,10000,10000,-3000,-10000,1000,-10000,-10000,-3200,10000,10000,-10000,10000,-1000,2200,-10000,-10000,-1646,-200,10000,10000,-10000,-10000,-10000,10000,-10000,-10000,10000,-10000,-2800,10000,-10000,-10000,1520,-10000,-10000,-1000,-10000,10000,10000,-1600,-2200,2400,-10000,-10000,10000,10000,-10000
10000,-10000,-10000,-1400,-10000,-10000,-2200,10000,-5502,10000,-10000,-10000,10000,10000,-3298,10000,-2538,-1106,10000,4712,-4200,10000,-2492,-10000,-10000,-10000,-10000,-10000,-10000,10000,-10000,-3644,-4898,-1800,10000,10000,-10000,10000,4012,10000,10000,-856,-10000,10000,-10000,-10000,-10000,3320,-10000,-10000,-10000,-10000,10000,10000,-4400,-1752,3000,3400,-4378,-10000,-10000,878,10000,10000,-10000,10000,10000,-5200,-10000,10000,-10000,10000,-10000,-10000,400,-800,10000,10000,22,10000,-10000,-10000,1000,-10000,2400,-10000,-10000,-10000,10000,-10000,10000,-1316,-10000,-10000,-1034,-4756,400,1400,-10000,600
-10000,-10000,10000,10000,2614,-718,-10000,10000,4450,-10000,-794,-2624,-1194,10000,1424,-10000,-998,-1386,-1888,1542,-10000,-10000,5168,-1532,10000,2410,10000,-686,-480,1042,-4572,1156,-2888,-10000,5186,-3898,-10000,-10000,-10000,-10000,10000,1214,2652,10000,-692,-10000,-10000,-10000,-10000,10000,-1130,2118,-10000,-10000,-10000,-248,-10000,-10000,-1456,-10000,40,-10000,-10000,-10000,10000,2090,10000,1334,-3754,-10000,-10000,-10000,-10000,34,-1964,-1914,10000,10000,10000,10000,-396,-2672,-10000,-10000,-1142,-10000,754,10000,10000,-286,-10000,-3350,-10000,10000,10000,-10000,-10000,-10000,-2500,4832
10000,10000,-10000,-10000,222,-10000,2164,-10000,-9998,10000,-10000,1982,-10000,10000,826,-10000,212,950,-774,10000,10000,-10000,-10000,-1606,2284,-10000,10000,7100,10000,10000,-10000,1526,-1764,3498,10000,-10000,-10000,-2158,-10000,-10000,-620,-10000,-10000,-10000,10000,-10000,10000,10000,10000,-10000,4256,-186,-6100,7294,432,-444,-3560,-10000,10000,-10000,-10000,-10000,-456,-10000,10000,-10000,2178,366,10000,274,-10000,10000,-1654,-10000,10000,-10000,10000,-10000,2090,-10000,-4946,-10000,10000,10000,2762,-10000,-10000,-10000,10000,-10000,-2290,3808,-220,10000,10000,-3032,-754,-1292,-10000,10000
10000,-2046,10000,-216,-10000,-536,10000,-10000,-10000,202,684,-10000,1938,10000,-9998,-10000,-10000,4274,-676,-5550,2052,-10000,10000,-10000,10000,-1132,1958,-664,-9998,10000,10000,-10000,10000,10000,-10000,-10000,10000,-3382,10000,-10000,1520,362,-10000,10000,-10000,-10000,2434,10000,-10000,-154,10000,-10000,10000,10000,10000,10000,-10000,1404,-1908,-3950,-634,-9998,10000,-10000,10000,-10000,-9998,-2850,1640,-382,10000,-1150,-10000,292,-10000,-10000,-4804,-4932,-3580,-24,-518,4512,10,2080,-10000,10000,-74,9998,-1452,-10000,10000,2786,10000,10000,9998,-10000,-10000,10000,-10000,-10000
10000,9998,3598,-9998,-1530,4346,-10000,2296,10000,4460,588,-10000,-9998,-9998,9998,-9998,10000,1052,-9998,1916,3758,9998,-10000,716,1836,10000,10000,9998,1274,4358,-10000,10000,-844,1290,230,9998,-10000,10000,9998,1694,-10000,1494,3790,-6668,1318,10000,9998,-10000,-2624,-322,10000,9996,-10000,9998,-2466,9998,10000,1604,-2326,2018,-10000,36,10000,10000,-3576,10000,-9998,9998,-9998,908,10000,-5380,-964,10000,-4348,1258,-9998,-9996,2678,-736,-10000,4878,-10000,10000,10000,9998,1210,-10000,-9998,2380,242,10000,-186,-9998,9998,9998,-4526,4558,9998,166
-9992,3032,9998,-1418,9996,2214,3642,-6,-9998,10000,-9998,9998,9994,4172,-9994,-9996,-9994,-9996,9992,10000,-9992,-308,-9998,9996,10000,-168,-9994,3110,-10000,-1494,9998,9994,9998,9998,-9996,9998,9994,-1484,832,-5508,3520,-3442,9998,-1080,-1534,-9996,-9998,9994,9992,-1206,1430,-9998,-9996,-9996,-4192,-2230,10000,9996,42,-9994,4354,4544,9992,4878,-9990,1194,5060,-9996,-2486,9998,9996,9994,9998,9998,9996,2560,-9996,10000,9996,9996,9998,9996,9994,-9998,-2494,2346,-532,-9998,-3352,-1198,-9996,-3322,4312,-880,-9996,9998,9988,3010,-10000,-1794
